,Solver,Solve Time
0,CVXPY,0.1209746
1,CVXPY,0.1411647
2,CVXPY,0.1159941
3,CVXPY,0.1152164
4,CVXPY,0.3285194
5,CVXPY,0.34336750000000005
6,CVXPY,0.4300596
7,CVXPY,0.3352412
8,CVXPY,0.4370664
9,CVXPY,0.2992122
10,CLARABEL,0.6860758
11,CLARABEL,0.6424079
12,CLARABEL,0.7051486
13,CLARABEL,0.7832162
14,CLARABEL,0.6931163
15,CLARABEL,0.7169619
16,CLARABEL,0.6731348
17,CLARABEL,0.7625403
18,CLARABEL,0.6458532
19,CLARABEL,0.6672011
20,GUROBI,0.14700007438659668
21,GUROBI,0.10900020599365234
22,GUROBI,0.07899999618530273
23,GUROBI,0.125
24,GUROBI,0.07799983024597168
25,GUROBI,0.09100008010864258
26,GUROBI,0.07400012016296387
27,GUROBI,0.06299996376037598
28,GUROBI,0.040000200271606445
29,GUROBI,0.07899999618530273
30,MOSEK,0.562
31,MOSEK,0.531
32,MOSEK,0.453
33,MOSEK,0.532
34,MOSEK,0.5
35,MOSEK,0.578
36,MOSEK,0.531
37,MOSEK,0.515
38,MOSEK,0.5630000000000001
39,MOSEK,0.546
40,OSQP,4.0855188
41,OSQP,4.0357448
42,OSQP,4.2636672
43,OSQP,3.7036364
44,OSQP,4.338079
45,OSQP,4.7032603
46,OSQP,4.2922362
47,OSQP,4.223582
48,OSQP,4.3791543
49,OSQP,3.9184234
